step,drift,rate_of_change
0,0.000000000e+00,4.299731314e-07
102,4.387480933e-05,4.299731314e-07
204,8.774961866e-05,4.299731314e-07
306,1.316244280e-04,4.299731314e-07
408,1.754992373e-04,4.299731314e-07
510,2.193740467e-04,4.299731314e-07
612,2.632488560e-04,4.299731314e-07
714,3.071236653e-04,4.299731314e-07
816,3.509984747e-04,4.299731314e-07
918,3.948732840e-04,4.299731314e-07
1020,4.387480933e-04,4.299731314e-07
1122,4.826229026e-04,4.299731314e-07
1224,5.264977120e-04,4.299731314e-07
1326,5.703725213e-04,4.299731314e-07
1428,6.142473306e-04,4.299731314e-07
1530,6.581221400e-04,4.299731314e-07
1632,7.019969493e-04,4.299731314e-07
1734,7.458717586e-04,4.299731314e-07
1836,7.897465680e-04,4.299731314e-07
1938,8.336213773e-04,4.299731314e-07
2040,8.774961866e-04,4.299731314e-07
2142,9.213709960e-04,4.299731314e-07
2244,9.652458053e-04,4.299731314e-07
2346,1.009120615e-03,4.299731314e-07
2448,1.052995424e-03,4.299731314e-07
2551,1.096870233e-03,4.299731314e-07
2653,1.140745043e-03,4.299731314e-07
2755,1.184619852e-03,4.299731314e-07
2857,1.228494661e-03,4.299731314e-07
2959,1.272369471e-03,4.299731314e-07
3061,1.316244280e-03,4.299731314e-07
3163,1.360119089e-03,4.299731314e-07
3265,1.403993899e-03,4.299731314e-07
3367,1.447868708e-03,4.299731314e-07
3469,1.491743517e-03,4.299731314e-07
3571,1.535618327e-03,4.299731314e-07
3673,1.579493136e-03,4.299731314e-07
3775,1.623367945e-03,4.299731314e-07
3877,1.667242755e-03,4.299731314e-07
3979,1.711117564e-03,4.299731314e-07
4081,1.754992373e-03,4.299731314e-07
4183,1.798867183e-03,4.299731314e-07
4285,1.842741992e-03,4.299731314e-07
4387,1.886616801e-03,4.299731314e-07
4489,1.930491611e-03,4.299731314e-07
4591,1.974366420e-03,4.299731314e-07
4693,2.018241229e-03,4.299731314e-07
4795,2.062116039e-03,4.299731314e-07
4897,2.105990848e-03,4.299731314e-07
5000,2.149865657e-03,4.299731314e-07
