step,drift,rate_of_change
0,0.000000000e+00,5.627254546e-07
204,1.148419295e-04,5.627254546e-07
408,2.296838590e-04,5.627254546e-07
612,3.445257885e-04,5.627254546e-07
816,4.593677181e-04,5.627254546e-07
1020,5.742096476e-04,5.627254546e-07
1224,6.890515771e-04,5.627254546e-07
1428,8.038935066e-04,5.627254546e-07
1632,9.187354361e-04,5.627254546e-07
1836,1.033577366e-03,5.627254546e-07
2040,1.148419295e-03,5.627254546e-07
2244,1.263261225e-03,5.627254546e-07
2448,1.378103154e-03,5.627254546e-07
2653,1.492945084e-03,5.627254546e-07
2857,1.607787013e-03,5.627254546e-07
3061,1.722628943e-03,5.627254546e-07
3265,1.837470872e-03,5.627254546e-07
3469,1.952312802e-03,5.627254546e-07
3673,2.067154731e-03,5.627254546e-07
3877,2.181996661e-03,5.627254546e-07
4081,2.296838590e-03,5.627254546e-07
4285,2.411680520e-03,5.627254546e-07
4489,2.526522449e-03,5.627254546e-07
4693,2.641364379e-03,5.627254546e-07
4897,2.756206308e-03,5.627254546e-07
5102,2.871048238e-03,5.627254546e-07
5306,2.985890167e-03,5.627254546e-07
5510,3.100732097e-03,5.627254546e-07
5714,3.215574026e-03,5.627254546e-07
5918,3.330415956e-03,5.627254546e-07
6122,3.445257885e-03,5.627254546e-07
6326,3.560099815e-03,5.627254546e-07
6530,3.674941744e-03,5.627254546e-07
6734,3.789783674e-03,5.627254546e-07
6938,3.904625603e-03,5.627254546e-07
7142,4.019467533e-03,5.627254546e-07
7346,4.134309463e-03,5.627254546e-07
7551,4.249151392e-03,5.627254546e-07
7755,4.363993322e-03,5.627254546e-07
7959,4.478835251e-03,5.627254546e-07
8163,4.593677181e-03,5.627254546e-07
8367,4.708519110e-03,5.627254546e-07
8571,4.823361040e-03,5.627254546e-07
8775,4.938202969e-03,5.627254546e-07
8979,5.053044899e-03,5.627254546e-07
9183,5.167886828e-03,5.627254546e-07
9387,5.282728758e-03,5.627254546e-07
9591,5.397570687e-03,5.627254546e-07
9795,5.512412617e-03,5.627254546e-07
10000,5.627254546e-03,5.627254546e-07
