step,drift,rate_of_change
0,0.000000000e+00,4.303100826e-07
102,4.390919210e-05,4.303100826e-07
204,8.781838421e-05,4.303100826e-07
306,1.317275763e-04,4.303100826e-07
408,1.756367684e-04,4.303100826e-07
510,2.195459605e-04,4.303100826e-07
612,2.634551526e-04,4.303100826e-07
714,3.073643447e-04,4.303100826e-07
816,3.512735368e-04,4.303100826e-07
918,3.951827289e-04,4.303100826e-07
1020,4.390919210e-04,4.303100826e-07
1122,4.830011131e-04,4.303100826e-07
1224,5.269103052e-04,4.303100826e-07
1326,5.708194974e-04,4.303100826e-07
1428,6.147286895e-04,4.303100826e-07
1530,6.586378816e-04,4.303100826e-07
1632,7.025470737e-04,4.303100826e-07
1734,7.464562658e-04,4.303100826e-07
1836,7.903654579e-04,4.303100826e-07
1938,8.342746500e-04,4.303100826e-07
2040,8.781838421e-04,4.303100826e-07
2142,9.220930342e-04,4.303100826e-07
2244,9.660022263e-04,4.303100826e-07
2346,1.009911418e-03,4.303100826e-07
2448,1.053820610e-03,4.303100826e-07
2551,1.097729803e-03,4.303100826e-07
2653,1.141638995e-03,4.303100826e-07
2755,1.185548187e-03,4.303100826e-07
2857,1.229457379e-03,4.303100826e-07
2959,1.273366571e-03,4.303100826e-07
3061,1.317275763e-03,4.303100826e-07
3163,1.361184955e-03,4.303100826e-07
3265,1.405094147e-03,4.303100826e-07
3367,1.449003339e-03,4.303100826e-07
3469,1.492912532e-03,4.303100826e-07
3571,1.536821724e-03,4.303100826e-07
3673,1.580730916e-03,4.303100826e-07
3775,1.624640108e-03,4.303100826e-07
3877,1.668549300e-03,4.303100826e-07
3979,1.712458492e-03,4.303100826e-07
4081,1.756367684e-03,4.303100826e-07
4183,1.800276876e-03,4.303100826e-07
4285,1.844186068e-03,4.303100826e-07
4387,1.888095260e-03,4.303100826e-07
4489,1.932004453e-03,4.303100826e-07
4591,1.975913645e-03,4.303100826e-07
4693,2.019822837e-03,4.303100826e-07
4795,2.063732029e-03,4.303100826e-07
4897,2.107641221e-03,4.303100826e-07
5000,2.151550413e-03,4.303100826e-07
