step,drift,rate_of_change
0,0.000000000e+00,4.302379203e-07
102,4.390182860e-05,4.302379203e-07
204,8.780365720e-05,4.302379203e-07
306,1.317054858e-04,4.302379203e-07
408,1.756073144e-04,4.302379203e-07
510,2.195091430e-04,4.302379203e-07
612,2.634109716e-04,4.302379203e-07
714,3.073128002e-04,4.302379203e-07
816,3.512146288e-04,4.302379203e-07
918,3.951164574e-04,4.302379203e-07
1020,4.390182860e-04,4.302379203e-07
1122,4.829201146e-04,4.302379203e-07
1224,5.268219432e-04,4.302379203e-07
1326,5.707237718e-04,4.302379203e-07
1428,6.146256004e-04,4.302379203e-07
1530,6.585274290e-04,4.302379203e-07
1632,7.024292576e-04,4.302379203e-07
1734,7.463310862e-04,4.302379203e-07
1836,7.902329148e-04,4.302379203e-07
1938,8.341347434e-04,4.302379203e-07
2040,8.780365720e-04,4.302379203e-07
2142,9.219384006e-04,4.302379203e-07
2244,9.658402292e-04,4.302379203e-07
2346,1.009742058e-03,4.302379203e-07
2448,1.053643886e-03,4.302379203e-07
2551,1.097545715e-03,4.302379203e-07
2653,1.141447544e-03,4.302379203e-07
2755,1.185349372e-03,4.302379203e-07
2857,1.229251201e-03,4.302379203e-07
2959,1.273153029e-03,4.302379203e-07
3061,1.317054858e-03,4.302379203e-07
3163,1.360956687e-03,4.302379203e-07
3265,1.404858515e-03,4.302379203e-07
3367,1.448760344e-03,4.302379203e-07
3469,1.492662172e-03,4.302379203e-07
3571,1.536564001e-03,4.302379203e-07
3673,1.580465830e-03,4.302379203e-07
3775,1.624367658e-03,4.302379203e-07
3877,1.668269487e-03,4.302379203e-07
3979,1.712171315e-03,4.302379203e-07
4081,1.756073144e-03,4.302379203e-07
4183,1.799974973e-03,4.302379203e-07
4285,1.843876801e-03,4.302379203e-07
4387,1.887778630e-03,4.302379203e-07
4489,1.931680458e-03,4.302379203e-07
4591,1.975582287e-03,4.302379203e-07
4693,2.019484116e-03,4.302379203e-07
4795,2.063385944e-03,4.302379203e-07
4897,2.107287773e-03,4.302379203e-07
5000,2.151189601e-03,4.302379203e-07
