index,x_position,omega,chi_abs,ratio
120,120.0,0.4841826715461539,0.3471586770974453,1.3947013382881592
121,121.0,0.46144566278022214,0.3583862014122828,1.287565372109238
122,122.0,0.4406436312071585,0.3688072268425767,1.1947803598632971
123,123.0,0.4222041782282976,0.37815871113348876,1.116473495910718
124,124.0,0.4065675301635649,0.38619392645615674,1.0527548527092674
125,125.0,0.394100861647142,0.39269322572782617,1.0035845688876015
126,126.0,0.38505935898169996,0.39747400257664134,0.9687661494476043
127,127.0,0.37959010907241636,0.4003992081080245,0.9480291204022712
128,128.0,0.3777608694629117,0.4013838730847638,0.9411461067424016
129,129.0,0.37959010907241636,0.4003992081080245,0.9480291204022712
130,130.0,0.38505935898169996,0.39747400257664134,0.9687661494476043
131,131.0,0.394100861647142,0.39269322572782617,1.0035845688876015
132,132.0,0.4065675301635649,0.38619392645615674,1.0527548527092674
133,133.0,0.4222041782282976,0.37815871113348876,1.116473495910718
134,134.0,0.4406436312071585,0.3688072268425767,1.1947803598632971
135,135.0,0.46144566278022214,0.3583862014122828,1.287565372109238
136,136.0,0.4841826715461539,0.3471586770974453,1.3947013382881592
