# synthesized from summary endpoints; real time series not captured in legacy run
time,energy
0.000000,2.512924531e+03
0.020408,2.512912736e+03
0.040816,2.512900913e+03
0.061224,2.512889035e+03
0.081633,2.512877076e+03
0.102041,2.512865011e+03
0.122449,2.512852815e+03
0.142857,2.512840469e+03
0.163265,2.512827953e+03
0.183673,2.512815251e+03
0.204082,2.512802351e+03
0.224490,2.512789243e+03
0.244898,2.512775921e+03
0.265306,2.512762382e+03
0.285714,2.512748627e+03
0.306122,2.512734660e+03
0.326531,2.512720490e+03
0.346939,2.512706128e+03
0.367347,2.512691587e+03
0.387755,2.512676886e+03
0.408163,2.512662044e+03
0.428571,2.512647083e+03
0.448980,2.512632029e+03
0.469388,2.512616906e+03
0.489796,2.512601742e+03
0.510204,2.512586564e+03
0.530612,2.512571399e+03
0.551020,2.512556277e+03
0.571429,2.512541222e+03
0.591837,2.512526262e+03
0.612245,2.512511420e+03
0.632653,2.512496719e+03
0.653061,2.512482178e+03
0.673469,2.512467815e+03
0.693878,2.512453645e+03
0.714286,2.512439679e+03
0.734694,2.512425923e+03
0.755102,2.512412384e+03
0.775510,2.512399062e+03
0.795918,2.512385954e+03
0.816327,2.512373054e+03
0.836735,2.512360353e+03
0.857143,2.512347837e+03
0.877551,2.512335490e+03
0.897959,2.512323295e+03
0.918367,2.512311229e+03
0.938776,2.512299270e+03
0.959184,2.512287392e+03
0.979592,2.512275570e+03
1.000000,2.512263775e+03
