step,drift,rate_of_change
0,0.000000000e+00,1.013571510e-07
102,1.034256643e-05,1.013571510e-07
204,2.068513285e-05,1.013571510e-07
306,3.102769928e-05,1.013571510e-07
408,4.137026571e-05,1.013571510e-07
510,5.171283214e-05,1.013571510e-07
612,6.205539856e-05,1.013571510e-07
714,7.239796499e-05,1.013571510e-07
816,8.274053142e-05,1.013571510e-07
918,9.308309784e-05,1.013571510e-07
1020,1.034256643e-04,1.013571510e-07
1122,1.137682307e-04,1.013571510e-07
1224,1.241107971e-04,1.013571510e-07
1326,1.344533636e-04,1.013571510e-07
1428,1.447959300e-04,1.013571510e-07
1530,1.551384964e-04,1.013571510e-07
1632,1.654810628e-04,1.013571510e-07
1734,1.758236293e-04,1.013571510e-07
1836,1.861661957e-04,1.013571510e-07
1938,1.965087621e-04,1.013571510e-07
2040,2.068513285e-04,1.013571510e-07
2142,2.171938950e-04,1.013571510e-07
2244,2.275364614e-04,1.013571510e-07
2346,2.378790278e-04,1.013571510e-07
2448,2.482215942e-04,1.013571510e-07
2551,2.585641607e-04,1.013571510e-07
2653,2.689067271e-04,1.013571510e-07
2755,2.792492935e-04,1.013571510e-07
2857,2.895918600e-04,1.013571510e-07
2959,2.999344264e-04,1.013571510e-07
3061,3.102769928e-04,1.013571510e-07
3163,3.206195592e-04,1.013571510e-07
3265,3.309621257e-04,1.013571510e-07
3367,3.413046921e-04,1.013571510e-07
3469,3.516472585e-04,1.013571510e-07
3571,3.619898249e-04,1.013571510e-07
3673,3.723323914e-04,1.013571510e-07
3775,3.826749578e-04,1.013571510e-07
3877,3.930175242e-04,1.013571510e-07
3979,4.033600907e-04,1.013571510e-07
4081,4.137026571e-04,1.013571510e-07
4183,4.240452235e-04,1.013571510e-07
4285,4.343877899e-04,1.013571510e-07
4387,4.447303564e-04,1.013571510e-07
4489,4.550729228e-04,1.013571510e-07
4591,4.654154892e-04,1.013571510e-07
4693,4.757580556e-04,1.013571510e-07
4795,4.861006221e-04,1.013571510e-07
4897,4.964431885e-04,1.013571510e-07
5000,5.067857549e-04,1.013571510e-07
