step,drift,rate_of_change
0,0.000000000e+00,5.627176952e-07
204,1.148403460e-04,5.627176952e-07
408,2.296806919e-04,5.627176952e-07
612,3.445210379e-04,5.627176952e-07
816,4.593613838e-04,5.627176952e-07
1020,5.742017298e-04,5.627176952e-07
1224,6.890420758e-04,5.627176952e-07
1428,8.038824217e-04,5.627176952e-07
1632,9.187227677e-04,5.627176952e-07
1836,1.033563114e-03,5.627176952e-07
2040,1.148403460e-03,5.627176952e-07
2244,1.263243806e-03,5.627176952e-07
2448,1.378084152e-03,5.627176952e-07
2653,1.492924497e-03,5.627176952e-07
2857,1.607764843e-03,5.627176952e-07
3061,1.722605189e-03,5.627176952e-07
3265,1.837445535e-03,5.627176952e-07
3469,1.952285881e-03,5.627176952e-07
3673,2.067126227e-03,5.627176952e-07
3877,2.181966573e-03,5.627176952e-07
4081,2.296806919e-03,5.627176952e-07
4285,2.411647265e-03,5.627176952e-07
4489,2.526487611e-03,5.627176952e-07
4693,2.641327957e-03,5.627176952e-07
4897,2.756168303e-03,5.627176952e-07
5102,2.871008649e-03,5.627176952e-07
5306,2.985848995e-03,5.627176952e-07
5510,3.100689341e-03,5.627176952e-07
5714,3.215529687e-03,5.627176952e-07
5918,3.330370033e-03,5.627176952e-07
6122,3.445210379e-03,5.627176952e-07
6326,3.560050725e-03,5.627176952e-07
6530,3.674891071e-03,5.627176952e-07
6734,3.789731417e-03,5.627176952e-07
6938,3.904571763e-03,5.627176952e-07
7142,4.019412109e-03,5.627176952e-07
7346,4.134252455e-03,5.627176952e-07
7551,4.249092801e-03,5.627176952e-07
7755,4.363933146e-03,5.627176952e-07
7959,4.478773492e-03,5.627176952e-07
8163,4.593613838e-03,5.627176952e-07
8367,4.708454184e-03,5.627176952e-07
8571,4.823294530e-03,5.627176952e-07
8775,4.938134876e-03,5.627176952e-07
8979,5.052975222e-03,5.627176952e-07
9183,5.167815568e-03,5.627176952e-07
9387,5.282655914e-03,5.627176952e-07
9591,5.397496260e-03,5.627176952e-07
9795,5.512336606e-03,5.627176952e-07
10000,5.627176952e-03,5.627176952e-07
