step,drift,rate_of_change
0,0.000000000e+00,3.555263605e-07
408,1.451128002e-04,3.555263605e-07
816,2.902256004e-04,3.555263605e-07
1224,4.353384006e-04,3.555263605e-07
1632,5.804512008e-04,3.555263605e-07
2040,7.255640010e-04,3.555263605e-07
2448,8.706768012e-04,3.555263605e-07
2857,1.015789601e-03,3.555263605e-07
3265,1.160902402e-03,3.555263605e-07
3673,1.306015202e-03,3.555263605e-07
4081,1.451128002e-03,3.555263605e-07
4489,1.596240802e-03,3.555263605e-07
4897,1.741353602e-03,3.555263605e-07
5306,1.886466403e-03,3.555263605e-07
5714,2.031579203e-03,3.555263605e-07
6122,2.176692003e-03,3.555263605e-07
6530,2.321804803e-03,3.555263605e-07
6938,2.466917603e-03,3.555263605e-07
7346,2.612030404e-03,3.555263605e-07
7755,2.757143204e-03,3.555263605e-07
8163,2.902256004e-03,3.555263605e-07
8571,3.047368804e-03,3.555263605e-07
8979,3.192481604e-03,3.555263605e-07
9387,3.337594405e-03,3.555263605e-07
9795,3.482707205e-03,3.555263605e-07
10204,3.627820005e-03,3.555263605e-07
10612,3.772932805e-03,3.555263605e-07
11020,3.918045605e-03,3.555263605e-07
11428,4.063158406e-03,3.555263605e-07
11836,4.208271206e-03,3.555263605e-07
12244,4.353384006e-03,3.555263605e-07
12653,4.498496806e-03,3.555263605e-07
13061,4.643609606e-03,3.555263605e-07
13469,4.788722407e-03,3.555263605e-07
13877,4.933835207e-03,3.555263605e-07
14285,5.078948007e-03,3.555263605e-07
14693,5.224060807e-03,3.555263605e-07
15102,5.369173607e-03,3.555263605e-07
15510,5.514286408e-03,3.555263605e-07
15918,5.659399208e-03,3.555263605e-07
16326,5.804512008e-03,3.555263605e-07
16734,5.949624808e-03,3.555263605e-07
17142,6.094737608e-03,3.555263605e-07
17551,6.239850409e-03,3.555263605e-07
17959,6.384963209e-03,3.555263605e-07
18367,6.530076009e-03,3.555263605e-07
18775,6.675188809e-03,3.555263605e-07
19183,6.820301609e-03,3.555263605e-07
19591,6.965414410e-03,3.555263605e-07
20000,7.110527210e-03,3.555263605e-07
