x_index,x_position,chi,E_step0,E_step625,E_step1250,E_step1875,E_step2499
0,0.0,0.05000000074505806,-0.02696924000860682,0.0,0.0,0.0,0.0
1,1.0,0.05000000074505806,-0.028307694832953978,-0.0006984654974724611,0.00010096714837424263,0.0013423642308591167,0.0007213569987013292
2,2.0,0.05000000074505806,-0.026984464153196733,-0.001332538015736655,6.821853989228843e-05,0.0026074683565175207,0.0014407322013753002
3,3.0,0.05000000074505806,-0.02303447992747019,-0.0006529229999414132,0.00027571926294255896,0.003890448152996831,0.0021743971357659837
4,4.0,0.05000000074505806,-0.01678937010307297,0.00011378368717698313,0.0001042806176604033,0.004687226924860022,0.0027003105404168615
5,5.0,0.05000000074505806,-0.008845926726909011,0.002656395554785128,0.00037549538517309193,0.0054029636226694475,0.0033690323008220727
6,6.0,0.05000000074505806,0.0,0.005373848554235851,6.927525376219265e-05,0.005470522237444604,0.003747262883520877
7,7.0,0.05000000074505806,0.008845926726909011,0.008539388325967632,0.00030806953561376586,0.005688253922946445,0.004230213715448746
8,8.0,0.05000000074505806,0.01678937010307297,0.012739920962560944,-3.320103252645009e-05,0.005157873094662651,0.004294449758693713
9,9.0,0.05000000074505806,0.02303447992747019,0.014208369607559094,-2.3347669040573165e-06,0.004737256456559568,0.004602205839264824
10,10.0,0.05000000074505806,0.026984464153196733,0.017786144827881104,-0.00017241511450245437,0.003508867856795203,0.004361647313090518
11,11.0,0.05000000074505806,0.028307694832953978,0.016832610329730987,-0.0005593368324452015,0.0024841432238778055,0.004454886210591208
12,12.0,0.05000000074505806,0.02696924000860682,0.015497381459360788,-0.0002945963894393034,0.0010077468759660446,0.004060044326430198
13,13.0,0.05000000074505806,0.023224563235972988,0.013772324758311853,-0.0011743043759081919,-0.00031996551734514705,0.004145774733964204
14,14.0,0.05000000074505806,0.01757747986191286,0.006113783336107005,-0.0005062170569508166,-0.0014233428382012284,0.003946347937244707
15,15.0,0.05000000074505806,0.010709330487475062,0.001190021738813058,-0.0015837762702935938,-0.0025886286255749264,0.00413930095332155
16,16.0,0.05000000074505806,0.0033900020626037126,-0.004957833347444843,-0.0011368798027811325,-0.002861917496821286,0.004123914755285405
17,17.0,0.05000000074505806,-0.003616611071963931,-0.015503250518329481,-0.001618323657884645,-0.003825140963546693,0.004136928720298422
18,18.0,0.05000000074505806,-0.00964007381351939,-0.02032058063730665,-0.0022386099997406387,-0.003406523597388716,0.004078578034484071
19,19.0,0.05000000074505806,-0.014172953175207371,-0.022932695819875473,-0.0015008153917562658,-0.004009481836371137,0.003298233447208578
20,20.0,0.05000000074505806,-0.01691480633951072,-0.029387933858191353,-0.0028600212947167965,-0.003411523082070489,0.002803608747086428
21,21.0,0.05000000074505806,-0.017787059614691382,-0.030678705053597564,-0.0016857371882768677,-0.0034741133578871826,0.0012420785733831515
22,22.0,0.05000000074505806,-0.016919481806837614,-0.02365223749170497,-0.0018380427614310348,-0.003209849959373313,0.0003466310887037816
23,23.0,0.05000000074505806,-0.014612743171584782,-0.017975996256551083,-0.0021868316309705364,-0.0024649234617014483,-0.0017364779191476989
24,24.0,0.05000000074505806,-0.011284345729308854,-0.01611201981895795,-0.0005250943979911398,-0.002798672641476173,-0.0031964578759584093
25,25.0,0.05000000074505806,-0.0074066913165739675,-0.00989964913559834,-0.001913385141623168,-0.0014963385875183578,-0.005347391094569411
26,26.0,0.05000000074505806,-0.0034461343640330194,0.0038402086444564608,-0.0013723907435936877,-0.0018239416291199694,-0.007041508900592022
27,27.0,0.05000000074505806,0.00018931330400278107,0.01808226668344833,-0.0006126962175952542,-0.0009349857592084893,-0.008271918023760986
28,28.0,0.05000000074505806,0.0031880793942181103,0.024926781457027983,-0.0026885394266018665,-0.0003454787305907478,-0.00974555909207964
29,29.0,0.05000000074505806,0.005356018942701774,0.023099589465632592,-0.0016723095229866098,-0.0005020994544157829,-0.009707536840255838
30,30.0,0.05000000074505806,0.006620078109632148,0.016566888729961347,-0.0016599870513200783,0.0009721821085442499,-0.010417305770636986
31,31.0,0.05000000074505806,0.007016770981255011,0.009726964158323385,-0.0036200220193950555,0.0004626782622436533,-0.009217896397999635
32,32.0,0.05000000074505806,0.006669316913152028,0.004790912326393764,-0.0014977864385885469,0.001435971616629836,-0.008291565136159085
33,33.0,0.05000000074505806,0.00575819795462087,0.001974358937986668,-0.000277836452105194,0.0020595256712626713,-0.006662641531015874
34,34.0,0.05000000074505806,0.004489997414772173,0.0006383838291946107,-0.0008744410302240006,0.0014756697693038348,-0.004252611415440593
35,35.0,0.05000000074505806,0.0030687852300870294,0.00010644356157331867,0.003164193328105532,0.0029827882371009397,-0.002912667925043146
36,36.0,0.05000000074505806,0.0016732251578171074,-5.945266880639055e-05,0.007320542254779846,0.002336911873005887,4.3403398935374784e-05
37,37.0,0.05000000074505806,0.00044123667025642487,-8.162611138613169e-05,0.00827334539381393,0.002342334874971511,0.0014497494080524262
38,38.0,0.20000000298023224,-0.0005373090370618967,-5.304189263422923e-05,0.01255647730865345,0.0033091553090125567,0.003347833710044118
39,39.0,0.20000000298023224,-0.0012205449516068264,-1.2689774706282801e-05,0.01903791136626441,0.0018096105625669033,0.005077912828204094
40,40.0,0.20000000298023224,-0.001608745230316278,2.8695491115759716e-05,0.021228062549356816,0.0022515843775458336,0.005290174130059854
41,41.0,0.20000000298023224,-0.0017346332379941532,6.630265070654392e-05,0.022716933210377366,0.002450146293104416,0.00677058447471459
42,42.0,0.20000000298023224,-0.0016519386789057516,9.878657193146613e-05,0.027910732328194007,0.0005837179269919674,0.006346341583542549
